,Date,Tag.Number,jday,Who.Collected,Dendryphantini..jumping.spiders.,Thomisidae,Chauliognathus,Cerambycidae,Chrysomelidae,Curculionidae,Lampyridae,Mordellidae,Scarabaeoidea,Diptera,Anthomyiidae,Bombyliidae,Calliphoridae,Conopidae,Cecidomyiidae,Culicidae,Dolichopodidae,Drosophilidae,Empididae,Lonchaeidae,Muscidae,Polleniidae,Syrphidae..total.,Allograpta,Helophilus,Ocyptamus,Orthonevra,Parhelophilus,Parhelophilus.integer,Syrphidae,Syrphini,Syrphus,Toxomerus,Tachinidae,Tipulidae,Ulidiidae,Hemiptera,Aphidinae,Cicadellidae,Miridae,Reduviidae,Hymenoptera,Andrena,Pseudopanurgus,Apis,Ceratina,Melissodes,Triepeolus,Astata,Elampus,Hylaeus,Oxybelus,Halictidae,Agapostemon,Augochloropsis,Augochlora.OR.Augochlorella,Augochlora,Augochlorella,Halictus,Lasioglossum,Symmorphus,Eurytoma,Formicidae,Braconidae,Ichneumonidae,Scolia,Sphex.pensylvanicus,Vespidae.x,Ancistrocerus,Dolichovespula.x,Polistes,Hesperiidae,Limniphilidae,abundance.vacuumed,Cultivar,Species,AscensionNumber,Inflorescence.Type,Flower.Type,False.Sepals,PaniclesPerTransect,TotalPaniclesA,AvgInflorescencesPerPanicle,transects_per_plant,TotalPaniclesB,TotalInflorescences_A,TotalInflorescences_B,TotalInflorescences_AB,Start.Time,End.Time,Rain,Wind,Cloud,Temp..F.,Apis.mellifera..honeybee.,Bombus_affinis,Bombus_auricomus,Bombus_impatiens,Bombus_bimaculatus,Bombus_griseocollis,Bombus_vagans,Celastrina_ladon,Dolichovespula.y,Epargyreus.clarus,Libythean_.carinenta,Pieris_rapae,Polygonia_comma,Sphecius_speciosus,Sphex,Vanessa.atalanta,Vespidae.y,UnknownWasp,Xylocopa,NoSample,Notes,abundance_visual,abundance_vacuum_and_visual
1,7/10/2024,11A,192,E. Braatz,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,19,Dharuma,Hydrangea paniculata,5026,Open,Lacy panicle,4,,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,12:38,12:43,0,1,40,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,,,1,20
2,7/10/2024,11E,192,E. Braatz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,11,Seaside Serenade® Bar Harbor,Hydrangea arborescens,19008B,Dense,Mop,4,,NA,388.8,33.2212,0,0,0,NA,13:59,14:04,0,2,40,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,11
3,7/10/2024,1A,192,E. Braatz,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,13,Strawberry Shake,Hydrangea paniculata,18031B,Very dense,Mop-like panicle,4,,NA,68.4,16.59537326,0,0,0,NA,11:56,12:01,0,1,10,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,13
4,7/10/2024,4A,192,E. Braatz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,White Diamonds,Hydrangea paniculata,11045,Half-open,Mop-like panicle,4,,NA,31,36.1728,0,0,0,NA,12:12,12:17,0,1,10,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,1,3
5,7/10/2024,5A,192,E. Braatz,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,Quick Fire,Hydrangea paniculata,5079,Open,Lacy panicle,4,,NA,98.6,56.52,0,0,0,NA,11:42,11:47,0,1,10,72,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,1,12
6,7/10/2024,8A,192,E. Braatz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Mega Pearl,Hydrangea paniculata,1128,Dense,Mop-like panicle,4,,NA,36.1,33.2212,0,0,0,NA,12:26,12:31,0,1,40,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,4
7,7/10/2024,9A,192,E. Braatz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,1,0,0,0,0,0,22,Fire & Ice,Hydrangea paniculata,12021,Open,Lacy panicle,4,,NA,97.8,25.12,0,0,0,NA,11:28,11:47,0,1,10,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,,,1,23
8,7/17/2024,10C,199,E. Braatz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fire Light,Hydrangea paniculata,14026,Dense,Mop-like panicle,4,,NA,76.5,34.29278303,0,0,0,NA,10:27,10:32,0,2,0,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1
9,7/17/2024,10D,199,E. Braatz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Daimond Rogue,Hydrangea paniculata,17047,Half-open,Mop-like panicle,4,,NA,109,37.33958984,0,0,0,NA,15:48,15:53,0,2,40,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1
10,7/17/2024,10D,199,E. Braatz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Daimond Rogue,Hydrangea paniculata,17047,Half-open,Mop-like panicle,4,,NA,109,37.33958984,0,0,0,NA,15:48,15:53,0,2,40,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,3
