NumSurveys,CumulativeSpp
1,5
2,5
3,8
4,9
5,11
6,11
7,12
8,15
9,15
10,15
11,15
12,16
13,17
14,17
15,18
16,18
17,18
18,18
19,18
20,19
21,21
22,21
23,22
24,22
25,22
26,23
27,23
28,24
29,24
30,24
31,24
32,26
33,27
34,27
35,27
36,27
37,27
38,27
39,27
40,28
41,29
42,29
43,29
44,29
45,29
46,30
47,30
48,31
49,33
50,33
51,33
52,33
53,34
54,34
55,34
56,34
57,34
58,34
59,35
60,35
61,35
62,35
63,35
64,35
65,36
66,36
67,37
68,38
69,39
70,40
71,40
72,40
73,40
74,40
75,41
76,42
77,43
78,43
79,44
80,44
81,44
82,44
83,44
84,44
85,44
86,44
87,44
88,44
89,45
90,45
91,45
92,45
93,45
94,45
95,46
96,46
97,46
98,46
99,46
100,46
101,46
102,46
103,46
104,46
105,47
106,48
107,48
108,48
109,48
110,49
111,49
112,50
113,50
114,50
115,50
116,50
117,50
118,50
119,50
120,50
121,50
122,50
123,50
124,50
125,50
126,50
127,50
128,50
129,50
130,50
131,51
132,51
133,51
134,51
135,51
136,52
137,52
138,52
139,52
140,52
141,52
142,53
143,53
144,54
145,54
146,54
147,54
148,54
149,54
150,54
151,54
152,54
153,54
154,54
155,54
156,55
157,55
158,55
159,55
160,55
161,55
162,55
163,55
164,55
165,55
166,55
167,55
168,55
169,55
170,55
171,56
172,56
173,56
174,56
175,56
176,56
177,56
178,56
179,56
180,57
181,57
182,57
183,58
184,58
185,58
186,58
187,58
188,58
189,58
190,59
191,59
192,59
193,59
194,60
195,60
196,60
197,60
198,60
199,60
200,60
201,60
202,60
203,60
204,60
205,60
206,60
207,60
208,60
209,60
210,60
211,60
212,60
213,60
214,60
215,60
216,60
217,60
218,60
219,61
220,61
221,61
222,61
223,61
224,61
225,61
226,61
227,61
228,61
229,61
230,61
231,61
232,61
233,61
234,61
235,61
236,61
237,61
238,61
239,61
240,61
241,61
242,61
243,61
244,61
245,61
246,61
247,61
248,61
249,61
250,61
251,61
252,61
253,61
254,61
255,61
256,61
257,61
258,61
259,61
260,61
261,61
262,61
263,61
264,61
265,61
266,61
267,61
268,61
269,61
270,61
271,61
272,61
273,61
274,61
275,61
276,61
277,61
278,61
279,61
280,61
281,61
282,61
283,61
284,61
285,61
286,61
287,61
